epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.924,1.51661,1.24205,1.30341,0.00403,0.0088,0.00098,0.00024,4.09465,7.92383,3.15928,0.00332757,0.00332757,0.00332757
2,263.675,1.51767,1.2178,1.28919,0.00485,0.01111,0.00086,0.0002,4.00492,7.63869,3.16123,0.00661694,0.00661694,0.00661694
3,394.599,1.60528,1.33785,1.33745,0.00509,0.02037,0.00072,0.00019,4.04043,8.46632,3.1108,0.00986231,0.00986231,0.00986231
4,521.645,1.67803,1.44102,1.38123,0.00674,0.00787,0.00088,0.00022,4.15965,7.38872,3.32565,0.009802,0.009802,0.009802
5,654.944,1.63729,1.34827,1.36854,0.00648,0.00694,0.00186,0.00034,4.21722,8.11648,3.70765,0.009736,0.009736,0.009736
6,802.374,1.58314,1.27854,1.34182,0.00215,0.00556,0.00056,0.00014,4.04391,8.64564,3.21167,0.00967,0.00967,0.00967
7,957.722,1.55656,1.22975,1.32532,0.00289,0.00463,0.00072,0.00017,4.01768,8.69668,3.23292,0.009604,0.009604,0.009604
8,1533.77,1.52406,1.18176,1.30371,0.00353,0.00787,0.00102,0.00024,4.14828,8.57201,3.48639,0.009538,0.009538,0.009538
9,1662.38,1.50731,1.14854,1.29015,0.00211,0.01852,0.00081,0.0002,4.08497,9.40321,3.3146,0.009472,0.009472,0.009472
10,1790.78,1.48209,1.10579,1.2768,0.00344,0.00787,0.00079,0.00018,4.06743,9.22576,3.33447,0.009406,0.009406,0.009406
