epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.957,1.62202,0.8347,1.44655,0.02979,0.02661,0.0036,0.00181,3.85839,5.4202,2.93445,0.0667288,3.33045e-05,3.33045e-05
2,841.027,1.47632,0.65352,1.32824,0.04694,0.04843,0.00495,0.00289,3.70222,5.55406,2.80359,0.0334275,6.53051e-05,6.53051e-05
3,1245.24,1.38512,0.55789,1.2585,0.05166,0.05192,0.007,0.00436,3.67986,5.965,2.76973,0.000124808,9.59725e-05,9.59725e-05
4,1682.87,1.33321,0.51585,1.22215,0.05071,0.05366,0.00553,0.00347,3.68729,5.91004,2.66141,9.40003e-05,9.40003e-05,9.40003e-05
5,2089.91,1.28829,0.48056,1.19451,0.05244,0.05672,0.00568,0.00363,3.6828,5.93915,2.74033,9.20004e-05,9.20004e-05,9.20004e-05
6,2510.37,1.25401,0.45504,1.17782,0.06098,0.05672,0.00666,0.00435,3.64295,5.98032,2.68101,9.00005e-05,9.00005e-05,9.00005e-05
7,2915.71,1.22075,0.43206,1.15478,0.05926,0.05846,0.00763,0.00455,3.65332,6.44334,2.65709,8.80006e-05,8.80006e-05,8.80006e-05
8,3353.07,1.1923,0.41666,1.13773,0.06336,0.05716,0.00742,0.00501,3.6646,6.29038,2.81092,8.60007e-05,8.60007e-05,8.60007e-05
9,3761.07,1.1785,0.40651,1.12734,0.06506,0.05628,0.00851,0.00599,3.71434,7.35283,2.80416,8.40008e-05,8.40008e-05,8.40008e-05
10,4154.48,1.14859,0.38922,1.11145,0.06257,0.05716,0.00783,0.00548,3.63106,6.74092,2.72895,8.20009e-05,8.20009e-05,8.20009e-05
11,4560.74,1.12438,0.37897,1.10114,0.06522,0.0589,0.00795,0.00551,3.73232,8.07979,2.89083,8.0001e-05,8.0001e-05,8.0001e-05
12,4964.13,1.10332,0.36681,1.08435,0.06128,0.05454,0.00914,0.00691,3.72241,8.29204,2.89548,7.80011e-05,7.80011e-05,7.80011e-05
13,5365.27,1.08635,0.35918,1.07755,0.06733,0.05716,0.00972,0.00703,3.6524,7.56435,2.83024,7.60012e-05,7.60012e-05,7.60012e-05
14,5771.42,1.06509,0.35372,1.06904,0.06679,0.05716,0.00954,0.00715,3.66805,9.8082,2.85395,7.40013e-05,7.40013e-05,7.40013e-05
15,6159.85,1.05408,0.34474,1.05909,0.06872,0.05672,0.00867,0.00666,3.67186,9.09582,2.87179,7.20014e-05,7.20014e-05,7.20014e-05
16,6548.03,1.03793,0.33941,1.0524,0.07031,0.05672,0.01081,0.00835,3.67689,11.9728,2.9404,7.00015e-05,7.00015e-05,7.00015e-05
17,6939.36,1.02187,0.33316,1.04779,0.07171,0.05497,0.01028,0.00814,3.70669,10.6371,2.89144,6.80016e-05,6.80016e-05,6.80016e-05
18,7329.32,1.008,0.32838,1.03611,0.07322,0.05628,0.01116,0.00904,3.64914,9.27648,2.85994,6.60017e-05,6.60017e-05,6.60017e-05
19,7729.75,0.98872,0.32093,1.02831,0.07346,0.05672,0.01147,0.00913,3.72019,10.9777,2.97247,6.40018e-05,6.40018e-05,6.40018e-05
20,8143.76,0.97655,0.31382,1.02164,0.07471,0.05672,0.01101,0.00903,3.6782,10.9385,2.92853,6.20019e-05,6.20019e-05,6.20019e-05
21,8532.75,0.97177,0.31149,1.01734,0.07372,0.05585,0.01174,0.00947,3.73219,11.2887,2.96718,6.0002e-05,6.0002e-05,6.0002e-05
22,8924.45,0.95882,0.30586,1.01039,0.07421,0.05672,0.01238,0.01,3.71114,12.2102,2.95274,5.80021e-05,5.80021e-05,5.80021e-05
23,9317.81,0.94498,0.30172,1.00682,0.07106,0.05672,0.01247,0.0103,3.71387,15.4773,2.9416,5.60022e-05,5.60022e-05,5.60022e-05
24,9707,0.93533,0.29915,1.00151,0.07151,0.05585,0.01253,0.01057,3.70468,15.3638,2.95669,5.40023e-05,5.40023e-05,5.40023e-05
25,10095.3,0.91994,0.29395,0.99815,0.07337,0.05628,0.01307,0.01097,3.71885,13.9409,2.97936,5.20024e-05,5.20024e-05,5.20024e-05
26,10500.9,0.91362,0.29091,0.99162,0.07439,0.05628,0.01369,0.01122,3.72551,14.4472,2.98832,5.00025e-05,5.00025e-05,5.00025e-05
27,10890.7,0.9089,0.2902,0.98953,0.07452,0.05672,0.01364,0.01133,3.68528,14.365,2.9473,4.80026e-05,4.80026e-05,4.80026e-05
28,11277.9,0.89842,0.28338,0.98297,0.07399,0.05672,0.01389,0.01166,3.6883,14.3343,2.94406,4.60027e-05,4.60027e-05,4.60027e-05
29,11670.1,0.88765,0.28375,0.98131,0.07357,0.05628,0.01372,0.0115,3.70292,14.4586,2.9523,4.40028e-05,4.40028e-05,4.40028e-05
30,12059.6,0.87634,0.2773,0.97702,0.07363,0.05628,0.01374,0.01146,3.70463,14.3579,2.96006,4.20029e-05,4.20029e-05,4.20029e-05
31,12447.9,0.86937,0.27532,0.96973,0.07438,0.05628,0.01364,0.01153,3.70915,14.6571,2.97085,4.0003e-05,4.0003e-05,4.0003e-05
32,12853.7,0.8597,0.27551,0.96744,0.0745,0.05628,0.01381,0.01166,3.71794,14.8383,2.98404,3.80031e-05,3.80031e-05,3.80031e-05
33,13242.7,0.85154,0.26886,0.9641,0.07575,0.05672,0.01389,0.01178,3.71747,14.8765,2.99294,3.60032e-05,3.60032e-05,3.60032e-05
34,13633.9,0.8412,0.26715,0.96204,0.07412,0.05672,0.01379,0.01177,3.72705,15.065,3.00671,3.40033e-05,3.40033e-05,3.40033e-05
35,14025.2,0.83453,0.26452,0.95997,0.07377,0.05672,0.01399,0.01187,3.73423,15.359,3.01687,3.20034e-05,3.20034e-05,3.20034e-05
36,14415.6,0.82382,0.25917,0.9528,0.07359,0.05672,0.01405,0.01198,3.74137,15.427,3.0199,3.00035e-05,3.00035e-05,3.00035e-05
37,14805.1,0.81507,0.25586,0.95068,0.07447,0.05672,0.01419,0.01213,3.73659,15.8223,3.01726,2.80036e-05,2.80036e-05,2.80036e-05
38,15214.6,0.81441,0.25703,0.95161,0.07477,0.05672,0.01438,0.01232,3.73638,16.2181,3.01831,2.60037e-05,2.60037e-05,2.60037e-05
39,15601.7,0.80421,0.25247,0.94618,0.07447,0.05672,0.01445,0.01249,3.73813,16.5431,3.02284,2.40038e-05,2.40038e-05,2.40038e-05
40,15992.1,0.79792,0.25116,0.94367,0.07492,0.05672,0.01462,0.01265,3.7375,17.055,3.02988,2.20039e-05,2.20039e-05,2.20039e-05
