epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2376.08,1.54229,1.67277,1.38555,0.0032,0.00787,0.00084,0.0002,4.08443,8.26612,3.17762,0.00332265,0.00332265,0.00332265
2,4688.72,1.37254,1.07111,1.2314,0.00636,0.01343,0.00081,0.00017,4.12873,9.87551,3.2025,0.00652419,0.00652419,0.00652419
3,6450.17,1.48729,1.21693,1.2911,0.00286,0.00926,0.00051,0.00013,4.08667,10.0214,3.46052,0.00959374,0.00959374,0.00959374
4,8263.76,1.56936,1.34026,1.36322,0.00917,0.01157,0.00088,0.00021,4.27162,9.05659,3.7131,0.009406,0.009406,0.009406
5,10101.6,1.49089,1.19754,1.31484,0.01182,0.01204,0.00071,0.00015,4.1294,10.1403,3.39323,0.009208,0.009208,0.009208
6,12744.9,1.43054,1.10056,1.27908,0.00343,0.01019,0.0008,0.00018,4.06333,9.10974,3.28992,0.00901,0.00901,0.00901
7,14872.4,1.39675,1.05034,1.25897,0.00482,0.01111,0.001,0.00023,4.24824,12.3448,3.60047,0.008812,0.008812,0.008812
8,17151.8,1.35162,0.99442,1.22901,0.00267,0.01343,0.00086,0.0002,4.27593,13.0581,3.77783,0.008614,0.008614,0.008614
9,19252.8,1.32249,0.95696,1.2149,0.0017,0.0338,0.00088,0.0002,4.19861,13.3908,3.44343,0.008416,0.008416,0.008416
10,21453.8,1.29688,0.91807,1.19684,0.00184,0.02824,0.00098,0.00023,4.26778,12.4138,3.60752,0.008218,0.008218,0.008218
11,23718.8,1.27507,0.90078,1.18654,0.00291,0.00694,0.00109,0.00029,4.11288,11.2936,3.59963,0.00802,0.00802,0.00802
12,25922.8,1.262,0.87184,1.17353,0.00268,0.02176,0.00138,0.00035,4.26402,21.6536,3.73187,0.007822,0.007822,0.007822
13,28121.9,1.23793,0.84416,1.15867,0.00387,0.00694,0.00083,0.00018,4.18789,12.8813,3.49425,0.007624,0.007624,0.007624
14,30379.2,1.22111,0.82701,1.15085,0.00428,0.00463,0.00102,0.00022,4.24955,13.9237,3.66159,0.007426,0.007426,0.007426
15,32559.8,1.21041,0.8082,1.14278,0.00144,0.02269,0.00074,0.00017,4.27356,14.1781,3.60636,0.007228,0.007228,0.007228
16,34745.1,1.19015,0.79147,1.13362,0.00199,0.02315,0.00103,0.00025,4.15732,13.5391,3.61687,0.00703,0.00703,0.00703
17,36851.4,1.18039,0.7748,1.13013,0.00178,0.01435,0.00072,0.00016,4.2199,15.7608,3.60688,0.006832,0.006832,0.006832
